genus	SM	OM	TN	TP	TK	Nitrate_N	Ammonium_N	Olsen_P	AK	pH	EC	TDS
Aspergillus	-0.237229570029738	0.651257006823345	0.636078811584476	0.58351728362765	-0.163306137662651	0.377768414834085	0.646759763789606	0.604035954969084	0.000562155379217389	-0.43707580734152	0.0930367152604779	-0.0534047610256519
Ceratobasidium	-0.356612834022045	0.0833141006001982	0.0316166330482803	0.0524095538818341	-0.0321863021122133	0.0210777553655202	0.16107392782705	0.483079366215166	-0.295515826915233	-0.0613818416387785	-0.35903392754376	-0.480800689959434
Montagnea	-0.315263684708162	-0.131634488562816	-0.307391246588272	-0.288167851179238	0.0970323768265539	-0.350781196225806	-0.288717091048067	0.163124241042377	-0.0384467908180685	0.0741473822919893	-0.473810926843626	-0.467952368242777
Aureobasidium	0.203114535056252	-0.271139788879242	-0.331475231400502	-0.303229962965304	0.357650166023696	-0.118378729750659	-0.417541965585241	-0.326447277857064	0.133758352354117	0.451850354469879	-0.228550064746588	-0.134349876300404
Comoclathris	0.372798488162425	0.0280060707658194	-0.00036947322910052	-0.131458574913965	0.317377503797347	0.135744464371531	-0.188505241487085	-0.352846933790996	-0.0690914938417972	0.374571959662107	-0.0489921501787289	0.0037686269368253
Tulostoma	-0.123489256591187	-0.190251999553913	-0.162761458333967	-0.0434903271151529	-0.0385449387475435	-0.0106180397304554	-0.134689106717831	-0.0344722659742182	0.0878533698245898	-0.0372358653561175	0.0523629356570403	0.0607991864017857
Oliveonia	0.294406308940266	0.24140652759041	0.351559678170204	0.259682314262774	0.00049843054560993	0.458722245476339	0.282776262876034	-0.114472881975081	-0.0257522448565131	0.00747645818414895	0.230939486132601	0.208343968064951
Pseudogymnoascus	-0.0504658993503455	0.277033083846302	0.14871559430934	0.172995691339436	0.154503291857212	0.185135739854484	0.109048691603194	0.14871559430934	-0.170454750952566	-0.0984614399912335	-0.0215274116109865	-0.126835274311288
Emmonsiellopsis	-0.181798396582581	-0.284140092141154	-0.339064079024109	-0.470698567586925	0.000732319825106068	-0.367624552203246	-0.16715200008046	-0.0373483110804094	-0.292744850086151	0.0582194260959324	-0.24075014250362	-0.210541949717994
Clitopilus	-0.242035856426526	0.199399935301157	0.0549565675342212	-0.0706816030823612	0.119315733643619	-0.0134554427886146	0.141038978627647	0.281915843486757	-0.342870620456867	-0.0129691014830021	-0.344167530605167	-0.430412055467131
Penicillium	0.153532977914406	0.597681949738224	0.426855422113679	0.202320471812116	0.353322686354307	0.358665409028984	0.162671845647407	0.168717558147699	-0.208084988382162	0.101511730818866	-0.159859886344945	-0.250826769779579
Apophysomyces	0.0710042977397082	0.192516807273642	0.167043100455685	0.166896699841788	0.143326201004483	0.226628150311481	0.169385510278025	0.0778851265928345	-0.361463115709978	-0.0529970222304626	0.107604451213785	0.00146400613896305
Cistella	0.29844478027511	-0.0702115177182846	-0.0839605094385753	-0.0535294077643318	0.18680296750635	0.0859770282242179	-0.155088626604879	-0.362790061526071	0.0648952409197722	0.0579290851148249	0.278646232197892	0.312193771995401
Heydenia	0.113207201184503	-0.196654917375353	-0.184841992034362	-0.108512320600262	0.00280178357446595	-0.0735278878596334	-0.271621558962415	-0.249964529170597	0.169545768195385	-0.120931036984382	0.305697305138352	0.357643887086559
Mortierella	-0.212922584151631	0.174416064094846	0.172710978335874	0.160207016103413	-0.173279340255531	0.0900143190257312	0.247166389810986	0.160491197063241	-0.163617187621357	-0.284536186028456	0.105218000376565	0.0391459272163993
Alternaria	0.244453273548225	-0.0335690387208462	-0.0666433758184378	0.195265797864627	0.40219241970597	0.0448765043952365	-0.268905668069094	-0.0175972434557699	0.328269862859643	0.419577648180345	-0.256184769185405	-0.217174012608759
Neocamarosporium	0.610750862173975	-0.109480866030724	-0.0862020736401706	-0.0411964083517673	0.441168386698549	0.21656331102727	-0.368369254131727	-0.511710181821438	0.209368047924735	0.382618696746551	0.214588140763829	0.300225880043016
Aporospora	-0.397459084886613	0.218147721490618	0.231141298548299	0.139753139909278	-0.361654561438782	0.0334945541931327	0.424312477472487	0.364108903771899	-0.0308958387815965	-0.484082931937818	0.121562132028525	0.0529849197796539
Conocybe	-0.0460159828975283	0.454537297302916	0.418582686871728	0.166160607054419	0.0201227449326812	0.217947082984113	0.46237924937227	0.228452339529851	-0.290300187925886	-0.210253092274558	0.0756082548573535	-0.00207145903718777
Naganishia	0.179321059597179	-0.0609945159509652	-0.110015512604397	0.112551081396816	0.41611501182252	0.0657839236699786	-0.308775932943454	-0.0221157944672091	0.264685208941948	0.459360546226553	-0.32934221314863	-0.296238953914272
Dominikia	0.314175725545286	-0.148217692014989	-0.221181999860206	-0.273258486243851	0.44894509415351	-0.0266105122729614	-0.379557468065412	-0.352803888522166	0.0972857437936224	0.423908321853681	-0.139061386716766	-0.0472121991939638
Cyphellophora	0.0251242949031621	0.228960092242507	0.180954743052537	0.0363404979849309	0.100347630238225	0.0575765091530799	0.0907764702751155	0.0677458666138836	-0.268740225839181	-0.0394810348478262	0.0331999611220357	-0.00598197497694336
Preussia	-0.122052569597494	-0.0316696171841893	0.0161550631478898	0.21627857668034	-0.0750819014142017	0.141552513661467	0.0175784167292017	0.248446367617989	0.155216708042061	-0.0439104579834715	-0.116643825988509	-0.164326170962457
Rhizophagus	0.0793620073185028	0.20934410579151	0.196474591091212	0.207628170498137	0.25538836949702	-0.0177313313648547	0.0982372955456062	0.148857386700111	0.334321392992179	0.0807919533963136	-0.0255960347928144	0.0350336789063661
Cladosporium	0.442736358330734	0.0538787157955847	0.0619182100373342	0.0478138341746157	0.426798413605862	0.265444353736362	-0.149929515420698	-0.228208801458785	0.109591000453323	0.429760332537033	-0.0356840709326778	0.00225670013803496
Talaromyces	0.0113500803627478	0.143011012570623	0.15128035683491	0.074099810368225	0.0107015043420194	0.182087717819511	0.107339331430558	-0.049291777575362	0.037779553207432	-0.105717891378737	0.163279013218386	0.164576165259843
Arachnomyces	-0.143080858163181	-0.0554219972241402	0.00508167309791543	-0.242491088141152	-0.333167192482081	0.212477456406589	0.113702435565858	-0.130376675418393	-0.477200864351121	-0.333167192482081	0.238044624180476	0.173253292182054
Vacuiphoma	-0.100967749973056	-0.490317161459678	-0.513380860692102	-0.253700691556663	0.0816625795044342	-0.251479742741688	-0.498517587853429	-0.123006395906261	0.298290510072682	0.224828356961999	-0.259680169135439	-0.188609807056266
Linnemannia	0.0474252991909656	-0.173646142279557	-0.288177130029346	-0.101435390313282	0.445472272119819	-0.226028532025585	-0.219813672225209	-0.0585232631202087	0.154853590026039	0.404779737712594	-0.420908778623094	-0.36201558337191
Leucoagaricus	-0.120528792391016	0.0148989632432635	-0.0555845936383292	-0.0194832596258061	0.0126068150519922	0.116135508357746	-0.176686423077163	0.161214422786082	-0.103146668607209	-0.110214125530295	-0.107539952640479	-0.182034768856796
